Person_ID,Read_Online_Training_Materials,Trained_in_Person,Place_of_Training,Ecological_Experience,Eco_Experience_Comments,Self-Described_Naturalist,Naturalist_Skill_Level,Participation_as_Part_of_Job,Type_of_Job,Job_Comments,LPL_Certified_Date
-1,,,,,,,,,,,
26,,,,,,,,,,,
35,,,,,,,,,,,
93,,,,,,,,1,Ecology/Science,,
477,,,,,,,,,,,
700,,,,,,,,,,,
741,,,,,,,,,,,
857,,,,,,1,Advanced,1,Ecology/Science,,
1058,,,,,,,,,,,
1190,2010-03-01 00:00:00,,,"I have spent a great deal of time outdoors hunting or engaged in another endeavor related to observing animals.,I have a graduate degree in a field related to ecology/nature.",,1,Intermediate,1,Ecology/Science,,
1745,2013-04-10 00:00:00,,,,I am a paid teacher-naturalist with Massachusetts Audubon,1,Advanced,,,,
1774,,,,,,,,,,,
1834,,,,,,,,,,,
1988,,,,,,1,,1,Ecology/Science,,
2002,,,,,,,,,,,
2046,,,,,,,,,,,
2059,,,,,,1,Advanced,1,Ecology/Science,,
3110,2014-06-02 00:00:00,2014-06-02 00:00:00,"Portland, New York, Webinar",,,1,Advanced,1,Ecology/Science,"Education, Not-For-Profit",
3178,,,,,,,,,,,
4496,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,I have a college degree in a field related to ecology/nature.",,1,Intermediate,,Education/Outreach,,
4558,,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",Ecology college course,,,,,,
4563,,2012-03-27 00:00:00,Dartmouth College,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).,,,,,,,
4565,,,,,,,,,,,
4578,2012-03-29 00:00:00,,,"I have spent a great deal of time outdoors engaged in an endeavor related to observing plants (like gardening or farming or botanizing).,I have spent a great deal of time outdoors engaged in an endeavor related to observing animals (like hunting or fishing or birdwatching).",,,Beginner,,Ecology/Science,,
4601,,,,,,,,,,,
4604,2012-04-01 00:00:00,,,,,,,,,,
4605,,,,,,,,,,,
4631,2012-03-25 00:00:00,,,,,,,,,,
4634,,,,,,,,,,,
4644,2012-04-03 00:00:00,,,,,,,,,,
4909,2012-04-16 00:00:00,,,,,,,,,,
14014,,,,,,,,,,,
14036,2013-01-27 00:00:00,,,,,1,Intermediate,,Ecology/Science,,2016-11-18 00:00:00
14222,,,,,,,,,,,
