Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date
38,Personal,Cedar Bog Lake Lowland 2,MN,45.407852,-93.200974,WGS84,Google Maps,281,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
414,Personal,PPN_9170001,ME,44.277962,-70.315315,WGS84,User,150,Auto-USGS-WebService,Rural,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,Southeast,,,,,,,,,,Plant Phenology Network station PPN_9170001,
637,Personal,Frizzle Mountain,VT,44.34095,-72.46122,WGS84,,518,User,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,"Plant Phenology Network station PPN_9430004. This site is within 200 meters of my backdoor. The clearing was once a grassy lawn, but it hasn't been mowed in over 10 years. Most trees are 4-8&quot; dbh, with a few large (24+&quot;dbh) white pines scattered about. An underground stream runs through a depression in the middle of the site. The quaking aspen is at the far end of the site, on the edge of an open (unmowed) field.",
678,Personal,PPN_9470029,WI,45.177551,-89.848251,WGS84,User,432,Auto-USGS-WebService,Rural,,100 yd,150 yd,6 ac,,,,,,,,1,,,,,,Plant Phenology Network station PPN_9470029,
771,Personal,Aton Forest Headquarters,CT,42.026855,-73.136116,,,445,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
962,Personal,Merlin Ranch Headquarters,WY,44.419422,-106.588882,,,1328,User,,,,,,,,,,,,,,,,,,,,
1581,Personal,Cove Marsh,MA,42.088829,-70.936188,,Google Maps,24,Auto-USGS-WebService,Wildlands or semi-wildlands,Forested wetland (such as swamp or mangrove),500 ft,0 ft,2 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,1,,,,,,"2 acre marsh surrounded by hardwood conservation lands, small stream, nearby larger marsh and river.  Houses on West side of 2 acre marsh.  50 years ago, the marsh was still a pond.  Historically, it was a cove of a larger lake all of which is now wet meadow.",
1605,Personal,SUNY Stony Brook,NY,40.907997,-73.120705,,Google Maps,58,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The name of this site is called the Ashley Schiff Preserve and it is located on the State University of NY Stony Brook campus. It is roughly 26 acres in size and is a woodlot predominantly composed of oak, maple, and eastern hophornbeam. The soil is mostly made of deposited glacial sediments.  It is surrounded by suburbs.",
1668,Group,Spicebush Trail,NY,40.866283,-73.875717,,Google Maps,21,Auto-USGS-WebService,Urban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",On the top of the slope or on a ridge,,,,,1,,,,,,,
1904,Personal,Home,MN,47.143215,-93.431,WGS84,Google Maps,394,Google Elevation Service,Rural,Forest or woodland,0.3 mi,300 ft,40 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The site is a mixture of northern hardwoods, aspen (P. Tremuloides, P. grandidentata) a plantation of red pine and white spruce, tamarack, and an occasional white pine. Along with 20 acres of wetlands predominantly Black Spruce and Tamarack.",
